"id","name","type","description","human_readable_id","graph_embedding","text_unit_ids","description_embedding"
"e1fd0e904a53409aada44442f23a51cb","PHÍ ÁP DỤNG","THÔNG TIN GIAO DỊCH","Phí áp dụng: 0.45% giá trị chứng khoán lô lẻ thực hiện giao dịch",10,"",['eab95c5e8ff4164dcfcbe12e60dd94ce'],"[-0.04448374 -0.01859339 -0.01657056 ... -0.00605463  0.01802996
  0.01802072]"
"de988724cfdf45cebfba3b13c43ceede","MBB","CỔ PHIẾU","MBB là cổ phiếu không được MBS mua lại",11,"",['eab95c5e8ff4164dcfcbe12e60dd94ce'],"[ 0.0344566   0.01658665  0.00866227 ... -0.02729151  0.01567765
  0.0208857 ]"
"96aad7cb4b7d40e9b7e13b94a67af206","HỆ THỐNG GIAO DỊCH TRỰC TUYẾN","DỊCH VỤ","""HỆ THỐNG GIAO DỊCH TRỰC TUYẾN của MBS là dịch vụ cung cấp cho khách hàng, mang lại sự thuận tiện, linh hoạt, giúp khách hàng thực hiện giao dịch từ xa qua các phương tiện điện thoại, internet và các phương tiện trực tuyến khác một cách chủ động và nhanh chóng. Hệ thống giao dịch trực tuyến hoàn toàn mới mang lại những trải nghiệm ưu việt cho Quý khách hàng, là nơi Khách hàng có thể thực hiện giao dịch tài chính.""",12,"","['1d3c82fc7b0630a6c46863b979a2af4c' '9ea072a756077acc1c0b5f1c59da3857'
 'ca5a65939fc04c9d28026d5c955aa877' 'd6fed9f836099d34eeb33a689ef5905b']","[-0.00010199  0.04192691  0.00175306 ... -0.00378532 -0.0118915
  0.02328866]"
"c9632a35146940c2a86167c7726d35e9","GIẤY PHÉP","VĂN BẢN PHÁP LÝ","Giấy phép được Ủy ban chứng khoán Nhà nước cấp cho MBS",13,"",['1d3c82fc7b0630a6c46863b979a2af4c'],"[ 0.06261883  0.05310817  0.00344814 ... -0.03240356 -0.01368735
  0.00412409]"
"9646481f66ce4fd2b08c2eddda42fc82","ỦY BAN CHỨNG KHOÁN NHÀ NƯỚC","TỔ CHỨC","Ủy ban chứng khoán Nhà nước cấp giấy phép cho MBS cung cấp dịch vụ giao dịch chứng khoán trực tuyến",14,"",['9ea072a756077acc1c0b5f1c59da3857'],"[ 0.01855397  0.01184772  0.02316706 ...  0.00212111 -0.02075891
 -0.00595942]"
"d91a266f766b4737a06b0fda588ba40b","RỦI RO","KHÁI NIỆM CHUNG","""Rủi ro là khả năng xảy ra các biến động không mong muốn trong hoạt động đầu tư, có thể ảnh hưởng đến mục tiêu hoặc kết quả dự kiến. Đồng thời, rủi ro cũng có thể gây thiệt hại hoặc mất mát. Đây là nguy cơ mà Khách hàng có thể phải đối mặt khi sử dụng dịch vụ của MBS. Rủi ro đơn bảy và rủi ro chứng là những nguy cơ mà nhà đầu tư CW có thể phải đối mặt.""",15,"","['241ba511a6b267992f84019bcafa5146' '2ca4dd87df7a7297bd3a223b08f539bd'
 '7f0880f07529079291b15cc45b96a2de' '8778f2e1feedb2a804f63de12dfc56b3'
 '8a22d1ed78856814aba3794bf1b450aa' 'cde81b63c0352bb90b98015501a3b422']","[ 0.03554921  0.04429948 -0.0108617  ... -0.01216104  0.01533834
 -0.00069979]"
"bc0e3f075a4c4ebbb7c7b152b65a5625","GIAO DỊCH TRỰC TUYẾN","HOẠT ĐỘNG","""Giao dịch trực tuyến là hoạt động mua bán chứng khoán, tài sản trực tuyến thông qua hệ thống internet""",16,"",['8778f2e1feedb2a804f63de12dfc56b3'],"[-0.03425153  0.01224676 -0.02685693 ... -0.00053798  0.0036794
 -0.00086222]"
"254770028d7a4fa9877da4ba0ad5ad21","HỆ THỐNG","PHẦN MỀM","""HỆ THỐNG is a software system provided by MBS that supports the monitoring, updating of personal data, and transactions related to stock market investments. It serves as a storage and processing hub for trading information. However, it may encounter issues such as being compromised, attacked, or malfunctioning.""",17,"","['4d11c4b0dc5844f6a10fadd077fa6077' '84ff06dea81e5f41c6eb079567d55f16'
 'fed1b4e2531fa3c89795c65da306e3cf']","[ 0.00961019  0.01949529  0.01754805 ...  0.00150338 -0.01187815
  0.00469342]"
"4a67211867e5464ba45126315a122a8a","VIRUT","NGUY CƠ","VIRUT is a type of harmful software that can disrupt the information exchange activities of MBS. It has the potential to cause harm to the provision and processing of personal data of customers.",18,"",['0155a5af5c1988637b742a0797735194' 'fed1b4e2531fa3c89795c65da306e3cf'],"[-0.03319899  0.07863865  0.00567996 ...  0.0047992  -0.02271983
  0.02304128]"
"04dbbb2283b845baaeac0eaf0c34c9da","PHẦN MỀM","","PHẦN MỀM là các chương trình máy tính được thiết kế để thực hiện các chức năng cụ thể.",19,"",['4b2c53355f86a10ae990338ebcb9c1cf' 'fed1b4e2531fa3c89795c65da306e3cf'],"[ 0.03433658  0.07763364 -0.07103872 ... -0.02568075  0.02387073
  0.00342291]"
"1943f245ee4243bdbfbd2fd619ae824a","HỆ THỐNG MẠNG","HỆ THỐNG","Hệ thống mạng là cấu trúc kết nối các thiết bị và phần mềm để truyền thông và trao đổi dữ liệu",20,"",['d03a5be917279f47816e4c9711cc5798'],"[ 0.03450992  0.00416729 -0.02649838 ... -0.01600585 -0.0282213
 -0.00796416]"
"273daeec8cad41e6b3e450447db58ee7","LỆNH GIAO DỊCH","HÀNH ĐỘNG","Lệnh giao dịch là hành động yêu cầu mua bán chứng khoán trên thị trường",21,"",['d03a5be917279f47816e4c9711cc5798'],"[-0.00281599  0.00549214 -0.03778439 ...  0.02706049 -0.00933037
 -0.00244591]"
"e69dc259edb944ea9ea41264b9fcfe59","BẢNG GIÁ CHỨNG KHOÁN","THÔNG TIN","Bảng giá chứng khoán là danh sách giá cả của các chứng khoán trên thị trường",22,"",['d03a5be917279f47816e4c9711cc5798'],"[-0.01294562 -0.01984141 -0.04146018 ...  0.02701918  0.00265748
 -0.01726938]"
