"source","target","weight","description","text_unit_ids","id","human_readable_id","source_degree","target_degree","rank"
"MBS","NHÀ ĐẦU TƯ",13.0,"MBS is a securities firm that provides account opening and securities trading services. NHÀ ĐẦU TƯ can open accounts at MBS and trade securities and derivatives through them. NHÀ ĐẦU TƯ must have a securities trading account at MBS before registering for separate trading of warrants. NHÀ ĐẦU TƯ should contact MBS for guidance and support on securities accounts. NHÀ ĐẦU TƯ can also participate in derivative securities trading by opening a securities account at MBS.","['0e6d1961c112676304a1c82938f647f0' '15e19a9eed9e792a37f0ad41d3a965bd'
 '1b7afcab69384f4109d8537750df26a0' '2416bbdc682287235364cc5dcf3b768c'
 '26952620749ea86364db720687c3f0b2' '29750a46f9f48a342b820405acb02ca8'
 '3405d57ce2cb8930da5dfb2d59f15ce1' '3df7788c67d82eb373cc637094d93edd'
 '77440a6dc67b414b93e032c60ac86fca' '811e2aea35222d79c8ab2b4e1682750c'
 '9843dda47d8fa4ee99109e43c28ae2c3' 'e87ce9ead619379b75f606b5ed62c8d4'
 'e996589ad5cee0c543ed988a77081773']","58a8fa7f29e347bdb9689b70b065a779","25",122,57,179
"MBS","S24",1.0,"MBS phát triển nền tảng giao dịch chứng khoán S24",['26952620749ea86364db720687c3f0b2'],"fae3fe31deb141ab93143ac411f1eaaa","26",122,9,131
"MBS","TÀI KHOẢN",3.0,"The entity TÀI KHOẢN is a part of the stock trading system provided by MBS. It is used for payment transfers according to MBS regulations and for transferring money and securities to a MBS account for trading and utilizing the best financial products.","['43fe3eabe57a1961a64491c86cb08d67' '5aba713d34cf47d3a146255cb3b5584a'
 '84d2fded9e5586dd584e403e106085ca']","a2cb46c226b94831853a5d28c5d94b0a","27",122,15,137
"MBS","HỆ THỐNG PLUS24",1.0,"MBS triển khai hệ thống Bảng giá giao dịch thế hệ mới Plus24",['c9391913bcbf6c8ce05f702658ff0f0f'],"d3511ecd27cd4166bdb39e757e275300","28",122,2,124
"MBS","TÀI KHOẢN GIAO DỊCH CHỨNG KHOÁN",3.0,"""MBS offers a new stock trading account service, where clients can open their accounts for trading securities. The stock trading accounts are specifically provided and utilized at MBS.""","['92e60b810f5507e207306d25d04c0814' 'a9baed6c1234760eb79ab79ad2e3c4b8'
 'c9391913bcbf6c8ce05f702658ff0f0f']","de3b561f5cce4c83bccb39180e362c97","29",122,6,128
"MBS","DỮ LIỆU THỜI GIAN THỰC",1.0,"MBS cung cấp dữ liệu giao dịch thời gian thực",['c9391913bcbf6c8ce05f702658ff0f0f'],"5bfefaa0fce04002851733337bed714c","30",122,1,123
"MBS","CHUYÊN GIA PHÂN TÍCH",1.0,"Chuyên gia phân tích áp dụng chiến lược từ các chuyên gia phân tích của MBS",['5a23cb91ee6aebebc216620b08be0d41'],"b5fed5609f154df58c6a9f74e55fc0ba","31",122,2,124
"MBS","OPEN24",1.0,"Dịch vụ mở tài khoản trực tuyến Open24 áp dụng cho khách hàng cá nhân muốn mở tài khoản tại MBS",['01a44471658f608d573d20b284b08638'],"91ae5251eaab4c08afe6cd4cbefcaa6b","32",122,5,127
"MBS","CONTACT24",1.0,"MBS cung cấp hệ thống Contact24 cho khách hàng",['6b7d7bef02fe471453e86ff1551c6a7a'],"bbdd53a15e99452a9deff05d1de2d965","33",122,4,126
"MBS","SMS",1.0,"""MBS cung cấp dịch vụ thông báo kết quả khớp lệnh, tra cứu kết quả khớp lệnh và tra cứu số dư tài khoản, tra cứu thông tin thị trường và thông tin chứng khoán qua tin nhắn SMS""",['fe67ca15be08a6b00a245e63131b8a03'],"532bf54d5a924ff48aee254970efb914","34",122,2,124
"MBS","HỆ THỐNG ROBO ADVISOR",2.0,"""The MBS organization continuously updates and verifies the HỆ THỐNG ROBO ADVISOR system to ensure the accuracy and effectiveness of investment decisions. The HỆ THỐNG ROBO ADVISOR system is provided by MBS, offering clients a reliable and efficient tool for making informed investment choices.""",['1b7afcab69384f4109d8537750df26a0' '241ba511a6b267992f84019bcafa5146'],"2489232bd2bb492babe00617e7290282","35",122,2,124
"MBS","MBS POWER RANK",3.0,"MBS Power Rank is a method used by the organization MBS to evaluate companies and economic situations to provide scores and recommendations. It is utilized to assess and score the current economic situation as well as the industry activities of the company MBS.","['07ee7a0c9129745b5e378841be05c2ae' '1b7afcab69384f4109d8537750df26a0'
 'c2ad2384fcd7d5fb0deb4af86a9380ba']","d2ed972353af4d1db74702638bfdbb58","36",122,8,130
"MBS","CÔNG TY",1.0,"MBS tìm kiếm và đánh giá các công ty vượt trội trong ngành",['27b41eca87bd22a28604791bb17dbdbc'],"575befc8d64c47eb95af8b1096e02963","37",122,8,130
"MBS","P/E",1.0,"P/E là một chỉ tiêu được sử dụng trong phương pháp định giá chuyên gia của MBS",['07ee7a0c9129745b5e378841be05c2ae'],"d6e6366617e04b0ba6732fd1d2d76429","38",122,1,123
"MBS","P/B",1.0,"P/B là một chỉ tiêu được sử dụng trong phương pháp định giá chuyên gia của MBS",['07ee7a0c9129745b5e378841be05c2ae'],"b4c4354c8edb40db984942799fe0c8b1","39",122,1,123
"MBS","ROBO ADVISOR",1.0,"MBS sẽ liên tục cập nhật các mô hình tìm kiếm cổ phiếu mới để đáp ứng nhu cầu đầu tư khác nhau",['0ef90d46880110c9301c8eb4b21ebb44'],"170507a64973429f818067b80506d428","40",122,3,125
"MBS","MÔ HÌNH TÌM KIẾM CỔ PHIẾU",1.0,"MBS liên tục cập nhật các mô hình tìm kiếm cổ phiếu mới để đáp ứng nhu cầu đầu tư khác nhau",['f2b9a3e3b16a5ef347d9b801f0c92955'],"fd9b298e6aea4685bbb2064b05fcda79","41",122,1,123
"MBS","HỖ TRỢ TÀI CHÍNH",1.0,"MBS cung cấp dịch vụ hỗ trợ tài chính cho khách hàng",['d2e04ee9d1cdefef4e95bc5b34b0dbfb'],"eeecb159cc8a4c8989f8da0f3df09f2a","42",122,2,124
"MBS","BIỂU LÃI SUẤT DỊCH VỤ TÀI CHÍNH",1.0,"Biểu lãi suất dịch vụ tài chính cung cấp thông tin về lãi suất áp dụng cho các dịch vụ tài chính của MBS",['c7090e265fb62a1c444aee9773b4bea3'],"70f22b1d7336492dbade94b8edefe457","43",122,1,123
"MBS","TKGDCK",1.0,"MBS trích số tiền đã ứng của Khách hàng và phí ứng trước từ TKGDCK của khách hàng khi tiền bán về tài khoản",['c7090e265fb62a1c444aee9773b4bea3'],"66e098dc431146e19fc4bc2ea37efbd9","44",122,2,124
"MBS","SỨC MUA ỨNG TRƯỚC",1.0,"Dịch vụ sức mua ứng trước được cung cấp bởi MBS",['8b34a2b22abe94c075872bb4ab06d253'],"932e213c57134098a07073febd51dcc2","45",122,2,124
"MBS","DỊCH KÝ QUỸ",1.0,"MBS cung cấp vốn vay cho khách hàng trong giao dịch ký quỹ",['72ef77d14fd5f7379a4d83d84a21217c'],"9593428ad36746ae8af6d8ce639834ef","46",122,3,125
"MBS","MỞ TÀI KHOẢN",1.0,"MBS xây dựng giải pháp eKYC giúp Khách hàng hoàn tất mọi giao dịch chỉ bằng những thao tác đơn giản",['5a24be5be62e4c2b6089680d85a28bb2'],"1bcaeb58479d42a6963a073c09f3f397","47",122,2,124
"MBS","EKYC",1.0,"MBS xây dựng giải pháp eKYC giúp khách hàng hoàn tất mọi giao dịch chỉ bằng những thao tác đơn giản trên điện thoại",['25fe70f4e78e841093d4e470427c5217'],"1ef0c1c59ce946668ccf1a6a4f5ab7cc","48",122,3,125
"MBS","MBS MOBILE APP",1.0,"MBS Mobile App được sử dụng để mở tài khoản chứng khoán và giao dịch trên điện thoại",['25fe70f4e78e841093d4e470427c5217'],"d734746e3d6146f780af91827e578dfd","49",122,2,124
"MBS","TÀI KHOẢN CHỨNG KHOÁN",1.0,"Tài khoản chứng khoán MBS được sử dụng để giao dịch chứng khoán",['fe776e2fb42accc6008bfd9f9c017855'],"21ed913271614cbeb1b754cdbbef13af","50",122,8,130
"MBS","TỔNG ĐÀI CONTACT24",1.0,"MBS cung cấp dịch vụ thông qua tổng đài Contact24",['4d28b35e2fd1fe04534b8fe505fb07cc'],"1505dfebbfb04652b0ba57de1a251d67","51",122,4,126
"MBS","HỒ SƠ",1.0,"Hồ sơ cần được gửi tới MBS để hoàn tất thủ tục mở tài khoản",['9a19753353f40064a6811288ab2c7556'],"907ec65076e5494a8631efffb81b3178","52",122,4,126
"MBS","CHI NHÁNH/ PHÒNG GIAO DỊCH",1.0,"Chi nhánh/ Phòng giao dịch của MBS là nơi khách hàng có thể gửi/mang hồ sơ tới",['9a19753353f40064a6811288ab2c7556'],"2dc7f6b230db452190a09643ca3d5ec0","53",122,1,123
"MBS","QUY ĐỊNH BẢO VỆ DỮ LIỆU CÁ NHÂN",1.0,"Quy định về bảo vệ dữ liệu cá nhân được công bố và thông báo công khai trên website của MBS",['84d2fded9e5586dd584e403e106085ca'],"c20ecfc93b3a4875ade5c92cfe4b94a1","54",122,2,124
"MBS","PHÁP LUẬT VIỆT NAM",1.0,"MBS hoạt động theo pháp luật Việt Nam",['c4a15b4c2991a5c14031f996e99ba460'],"4bc7dc91ede345dfb63d7d4f7ac3554f","55",122,1,123
"MBS","QUY ĐỊNH BVDLCN",9.0,"""MBS and QUY ĐỊNH BVDLCN are entities that work together to ensure compliance with regulations and provide personalized data management services to customers. MBS has the authority to amend, update, or adjust the provisions of QUY ĐỊNH BVDLCN, while also being responsible for notifying customers of any changes. They advise customers to adhere to QUY ĐỊNH BVDLCN and regularly check MBS's website for updates. Both MBS and customers have rights and responsibilities under QUY ĐỊNH BVDLCN, which governs how MBS manages and protects customer data. Customers are required to seek permission from MBS before using personal data for other purposes.""","['1170f02c4f72abe944971b085d7e2626' '1a7a2ff68d41451fd234f3b95d8f9438'
 '20e0df85ac24e24c4e87ae59c728636a' '7af789bc7cfb0baad062c01598795734'
 '85866d97200f421b7d8eaa3b9663908c' '8844fa2234338bedbca82d8d3037e7d4'
 'c4a15b4c2991a5c14031f996e99ba460' 'cbed4d4646f17080ba6330956c14d83f'
 'e9d3f68998cff4ee8aed538a49af5a55']","0b2b815c9f834aaaac0c341097def9ba","56",122,3,125
"MBS","DỮ LIỆU CÁ NHÂN",32.0,"""The entity MBS is responsible for collecting, managing, and ensuring the security of personal data provided by customers. They use this data for establishing relationships, executing contracts, and throughout the duration of product or service usage. MBS is committed to not selling, exchanging, renting, or illegally trading any personal information of customers. They may need to collect customer data to provide products, services, and convenience. MBS also ensures compliance with legal regulations regarding the use and processing of personal data. Additionally, they are accountable for safeguarding and managing customer data, including recording and processing data obtained from surveillance cameras. MBS handles personal data for various purposes outlined in the regulations.""","['0155a5af5c1988637b742a0797735194' '084712776af45fb46dcf1027340a40b7'
 '1170f02c4f72abe944971b085d7e2626' '12d1f91e89d082920c89bcdd2f7660ec'
 '1a7a2ff68d41451fd234f3b95d8f9438' '1cd97c98e1c0d5f114e9004dbdea93ea'
 '202265b0fffd28a9b77f9e17d1fcc200' '20e0df85ac24e24c4e87ae59c728636a'
 '2bac8cd2c646865c07a176576b25a409' '2bd9d64dccdbf2ad7cb29afe2ccc3479'
 '3f8b6d62e8bb7c6f21608de7fea4ba02' '4de94a9646e4fa0e3488ab9431283633'
 '50a6b12300875b1d5702ab57bcc76adb' '556b05eca1c1694a4f7ac7a9aeef4d13'
 '560c1bc6f36029f367ef54b7a12138af' '5a8cea5cfd5efda0dd2fbcb18978cfd4'
 '78c9461234ebe64ad91af16347b2afbd' '7c816fbd38dc2ec7d29db9c8f19bc5c6'
 '7d4a6d64f3da1057d18a58518005274b' '8fbade2505b0850c4038ba4b0b013b29'
 '99db7b89b640a0c2570b3bb8e21f43f7' '9e8879c44f400bef99b17abce60e5e94'
 '9ec3183997e9b53cecc3d69523d6c509' 'a94ef355681ae5aeaab52a0ccc3bdf77'
 'bdac16159b60ffb7d6f9ffa4bc2f87d1' 'ca5a65939fc04c9d28026d5c955aa877'
 'cbed4d4646f17080ba6330956c14d83f' 'f6c425bdd3bdadaa7f7b65901b875aa6'
 'ff5db536458a8abf6a70a74408c4dfec']","424ae71c56024094a02e6fd9bfcfbb04","57",122,17,139
"MBS","QUY ĐỊNH",1.0,"MBS thực hiện các thay đổi theo quy định được nêu tại Quy định",['10c4087ea9328fcec618be8c8c72a545'],"400d10f2ee1d49be9a66efa34dada0e6","58",122,3,125
"MBS","COOKIE",2.0,"MBS utilizes cookies to create favorable conditions for customer Internet access sessions and the use of MBS applications. This helps enhance the customer experience and optimize their interactions with MBS services.",['6b7528cd9ea8d789abe3c8ea558e0abe' '777d349ff472a2c8dff56fdc417e9ad6'],"91deb9f152264e958d106d481ff2e1ee","59",122,4,126
"MBS","THẺ PIXEL",1.0,"Thẻ pixel được đặt trên các trang web của MBS để theo dõi hành vi của người dùng",['777d349ff472a2c8dff56fdc417e9ad6'],"586cf02da9494088aed9b3419725638f","60",122,3,125
"MBS","CÁ NHÂN",3.0,"""MBS collaborates with CÁ NHÂN in business activities, providing information until there is a request to terminate the data exchange from the customer. MBS recognizes the importance of safeguarding the legal rights of both customers and themselves.""","['2d8598614a3b2a6df74b101ab9d9f3db' '3f8b6d62e8bb7c6f21608de7fea4ba02'
 '4b2c53355f86a10ae990338ebcb9c1cf']","229d85a2783e4a2991f17d2ab5750af7","61",122,5,127
"MBS","NHÀ CUNG CẤP DỊCH VỤ",1.0,"Nhà cung cấp dịch vụ gửi dữ liệu cá nhân cho MBS quản lý",['2bd9d64dccdbf2ad7cb29afe2ccc3479'],"b7f97d1909a3433abef8ca8e9334fafa","62",122,3,125
"MBS","CƠ QUAN NHÀ NƯỚC",5.0,"""MBS, also known as CỔ QUAN NHÀ NƯỚC, provides services, features, and utilities for customers and partners in accordance with legal regulations. They can directly receive personal data from customers from regulatory agencies such as the State Securities Commission, the Vietnam Securities Depository Center/VSD, securities trading floors, or other authorized agencies in Vietnam. MBS must comply with the regulations of regulatory agencies. They are required to evaluate and implement any relevant recommendations.""","['2bd9d64dccdbf2ad7cb29afe2ccc3479' '2bef9f2520b250df2955e1148e863a15'
 '4b2c53355f86a10ae990338ebcb9c1cf' '7b3ffa4aa3640fab05df340f23773806'
 'efa0f2467e6242170a2d90a14385554e']","b7fdfffc38b94bf7872eabe9b022c8fd","63",122,3,125
"MBS","NGUỒN CÔNG KHAI",1.0,"""MBS có thể tiếp nhận dữ liệu cá nhân của Khách hàng từ các nguồn công khai như danh bạ điện thoại, thông tin quảng cáo/tờ rơi, các thông tin được công khai trên mạng""",['efa0f2467e6242170a2d90a14385554e'],"6242e0c237a348908d0256ea790a0211","64",122,1,123
"MBS","CƠ QUAN CÓ THẨM QUYỀN",1.0,"Cơ quan có thẩm quyền có thể có vai trò trong việc giám sát hoạt động kinh doanh của MBS",['4afd356aec4d6f5d391159dd033f2e2b'],"7cc9f26737e1442595e53253e98015ef","65",122,1,123
"MBS","NGƯỜI CÓ LIÊN QUAN",1.0,"MBS có liên kết với người có liên quan đến hoạt động kinh doanh",['4afd356aec4d6f5d391159dd033f2e2b'],"1868fec1493643208dbdcad7bc97dfa0","66",122,1,123
"MBS","NHÀ CUNG CẤP",1.0,"MBS có thể có mối quan hệ với nhà cung cấp trong quá trình kinh doanh",['4afd356aec4d6f5d391159dd033f2e2b'],"a87aa935dccf49cd98b40fb5afe7ad5c","67",122,1,123
"MBS","ĐỐI TÁC",3.0,"""MBS collaborates with various partners in business projects and activities, as well as in providing products and services. The collaboration with partners, including ĐỐI TÁC, is essential for MBS to successfully operate in the market and meet customer needs.""","['4afd356aec4d6f5d391159dd033f2e2b' '7e108a1f0876a82e34633eee74f96309'
 '81dfed839bbb088d66ed74faafa95382']","36870a3393f6413e9bf647168eb6977a","68",122,3,125
"MBS","BÊN LIÊN KẾT",1.0,"MBS có thể có liên kết với bên liên kết trong các hoạt động kinh doanh",['4afd356aec4d6f5d391159dd033f2e2b'],"4fe3ff52700c491f8cc650aadb4d7cb0","69",122,1,123
"MBS","BÊN THỨ BA",3.0,"""MBS has the ability to share personal customer data with relevant third parties, as well as provide or share this data with third parties. This relationship with third parties is integral to MBS's business operations.""","['3f8b6d62e8bb7c6f21608de7fea4ba02' '4afd356aec4d6f5d391159dd033f2e2b'
 'cbed4d4646f17080ba6330956c14d83f']","f1f6f6435a444e388d67e16e847afca6","70",122,3,125
"MBS","DỊCH VỤ",2.0,"""MBS provides a variety of services and utilities for customers, ensuring they have access to the necessary resources.""",['016f43c5ba92b8259d4a288f96a46817' '2ca4dd87df7a7297bd3a223b08f539bd'],"0af2ca1c090843ea92679fd14c1fbc9a","71",122,5,127
"MBS","SẢN PHẨM",2.0,"""MBS provides a range of products and services for customers, including development, management, and measurement of products and services.""",['542e71d7d8d24c707e8aa684ca847c38' '7e108a1f0876a82e34633eee74f96309'],"1b06d3e53ffd4771952fbef04d1e666c","72",122,3,125
"MBS","BÁO CÁO",1.0,"Báo cáo tài chính phân tích về tình hình tài chính của MBS",['008d65e4640a5208f1016c02bde466fa'],"b8e966b34cba4b11b9995106767212ba","73",122,1,123
"MBS","DỮ LIỆU NỘI BỘ",1.0,"""MBS sử dụng dữ liệu nội bộ để phát triển, cải thiện sản phẩm, dịch vụ và hệ thống giao dịch""",['02d2277b6e803b3a6f72b3721eb23490'],"f6de923de6474d2cab6a9c2f0d81fa59","74",122,1,123
"MBS","BÁO CÁO TÀI CHÍNH",1.0,"MBS cần lập báo cáo tài chính theo quy định pháp luật",['1dc33c657628dd4ef956950e220b70da'],"6915637e8d124fdc8473111d501e3703","75",122,2,124
"MBS","LỢI ÍCH HỢP PHÁP",2.0,"MBS needs to ensure legal benefits in accordance with the law.",['1dc33c657628dd4ef956950e220b70da' 'cbf4462f3611d64fd6ecf0ba54555a49'],"2233f31929194eac89333ce8731a5584","76",122,1,123
